name,contact_person,phone,address,area,sales_person_id,credit_limit,credit_period_days
BHAWANI TRADERS,,,,ISMAILKHANPET,1,0,0
SHIRIDI SAIBABA TRADERS,,,,JOGIPET,1,0,0
SRI MANDEEP CEMENT AGENCY,,,,NARAYANKHED,1,0,0
SREE LAKSHMI PRIYA AGENCIES,,,,ATMAKUR,1,0,0
SRI VENKATESHWARA TRADERS,,,,MOGUDAMPALLE,1,0,0
LAXMI STEEL CENTRE,,,,ZAHEERABAD,1,0,0
MBP HARDWARE,,,,MAKTAL,1,0,0
G M TRADERS,,,,JOGIPETH,1,0,0
MA MOIZ TRADERS,,,,BUDHERA,1,0,0
YAMANI TRADERS,,,,MARIKAL,1,0,0
SANA TRADERS,,,,ADDAKAL,1,0,0
HEMAADRI ENTERPRISES,,,,WANAPARTHY,1,0,0
SHREE VIGNESHWARA STEEL TRADERS,,,,NAGARKURNOOL,2,0,0
NARAYANA TRADERS,,,,PEDHA KOTHAPALLY,2,0,0
INDHU IRON & HARDWARE,,,,IEEJA,2,0,0
SRI BALAJI IRON & CEMENT,,,,ACHAMPET,2,0,0
HASAN IRON MART,,,,ANANTAPUR,2,0,0
SRI MANJUNADHA TRADERS CEMENT,,,,JADCHERLA,2,0,0
LAKSHMI BHAVANI TRADERS,,,,JADCHERLA,2,0,0
NARAYANA ENTERPRISES,,,,RAJAPUR,2,0,0
SRI VIJAYA DURGA STEEL & CEMENT TRADERS,,,,MAHBUBNAGAR,2,0,0
SRIKANTH ENTERPRISE ELECTRICALS,,,,BIJINAPALLY,2,0,0
SRI LAXMI VENKATESHWARA STEEL & CEMENT,,,,MAHBUBNAGAR,2,0,0
KURUMURTHY TRADERS,,,,DEVARAKADRA,2,0,0
SRI SAIRAM CEMENTS,,,,THORRUR,3,0,0
SHIVA SAI IRON & CEMENT,,,,NELLIKUDUR,3,0,0
MALLIKARJUNA TRADERS,,,,MAHABUBABAD,3,0,0
SRI VIGNESHWARA IRON & CEMENT,,,,KESAMUDRAM,3,0,0
MAHESHWARA AGENCIES,,,,GUDUR,3,0,0
VASAVI AGENCIES,,,,KAMALAPUR,3,0,0
SATYANARAYANA SWAMY IRON & GENERAL,,,,MARRIPEDA,3,0,0
SARASWATHI IRON ELECTRICAL CEMENT,,,,NEKKONDA,3,0,0
MAHALAXMI ELECTRICALS & CEMENT,,,,INUGURTHY,3,0,0
UMA SHANKAR TRADERS,,,,ATMAKUR,3,0,0
EMMADI RAMAIAH IRON HARDWARE,,,,MAHABUBABAD,3,0,0
KAKATIYA STEEL & CEMENT,,,,WADDEPALLY,4,0,0
SREE BHADRAKALI AGENCIES,,,,WARANGAL,4,0,0
SRI THIRUMALA ENTERPRISES,,,,MADIKONDA,4,0,0
AYYAPPA CEMENT & IRON AGENCIES,,,,WARANGAL,4,0,0
SRI MALLANNA ENTERPRISES,,,,WARANGAL,4,0,0
HANUMAN IRON & ELECTRICALS ENGG,,,,WARANGAL,4,0,0
NOBLE TILES HOME,,,,HANUMAKONDA,4,0,0
PAVAN SUTHA TRADERS,,,,PRAGATHI SINGARAM,4,0,0
SAI FERTILIZERS,,,,WARANGAL,4,0,0
SANTOSHI MATHA TRADERS,,,,RANGASHAIPET,4,0,0
SRI RAMA IRON & HARDWARE,,,,MULUGU,4,0,0
SAI SRI THIRUMALA AGENCIES,,,,HANUMAKONDA,4,0,0
SUDHARSHAN CEMENT & IRON,,,,ATMAKUR,4,0,0
DHIRAJ ENTERPRISES,,,,ETURUNAGARAM,4,0,0
SRI KRISHNA TRADERS,,,,TIMMAPURAM,4,0,0
SRI BALAJI AGENCIES,,,,WARANGAL,4,0,0
SRI KARTHIKEYA CEMENT & IRON MERCHANT,,,,KASHIBUGGA,4,0,0
SRI SRINIVASA AGENCIES,,,,HANUMAKONDA,4,0,0
SRI KAMAKSHI TRADERS,,,,ELKATURTHY,4,0,0
DURGA IRON HARDWARE,,,,PASRA,4,0,0
SHRINIVASA TRADERS,,,,KAMLAPURAM,4,0,0
SRI SRINIVASA TRADERS,,,,ANKAPUR,5,0,0
S.SUDARSHAN TRADERS,,,,BALKONDA,5,0,0
HITECH TRADERS,,,,SATPOOL,5,0,0
VEDHA TRADERS,,,,NIZAMABAD,5,0,0
LAXMI PRASANNA TRADERS,,,,MUGPAL,5,0,0
ASIAN TRADERS,,,,ECHODA,5,0,0
RUDRANI IRON AND INFRA,,,,NIZAMABAD,5,0,0
SRI VINAYAKA ENTERPRISES,,,,RUDRUR,5,0,0
DURGA BHAVANI TRADERS,,,,BANSWADA,5,0,0
S S TRADERS,,,,BICHKUNDA,5,0,0
SRI SRINIVASA TRADERS,,,,BANSWADA,5,0,0
STAR TRADERS,,,,NIRMAL,5,0,0
RAJESHWAR TRADERS,,,,BHAINSA,5,0,0
LAXMI SAI TRADERS,,,,NALGONDA,6,0,0
SRI BALAJI IRON HARDWARE & ELECTRICALS,,,,KUSUMANCHI,6,0,0
KANAKADURGA CEMENT IRON SYNDICATE,,,,MIRYALAGUDA,6,0,0
SRI LAKSHMI NARSIMHA SWAMY STEEL,,,,CHOUTUPPAL,6,0,0
SRI SAI CEMENT IRON & GENERAL MERCHANT,,,,GADDIPALLY,6,0,0
MAA PRABHU MARKETING,,,,NALGONDA,6,0,0
PRIYA SAKSHITHA TRADERS,,,,NANDIGUDEM,6,0,0
SRI RAMAKRISHNA CEMENT & IRON,,,,SHALIGOWRARAM,6,0,0
GANGA BHAVANI IRON SYNDICATE,,,,MIRYALAGUDA,6,0,0
VASAVI TRADERS,,,,HUZURNAGAR,6,0,0
SRINIVASA IRON SYNDICATE,,,,MIRYALAGUDA,6,0,0
S S CEMENT AND IRON TRADERS,,,,SURYAPET,6,0,0
SRI SRINIVASA TRADERS,,,,SURYAPET,6,0,0
SRI SAI VINAYAKA TRADERS,,,,PEDDA VOORA,6,0,0
SHIVA SAI CEMENT & STEEL TRADERS,,,,NALGONDA,6,0,0
SHIVA IRON SYNDICATE,,,,NAKIREKAL,6,0,0
SRI VINAYAKA TRADERS,,,,NALGONDA,6,0,0
SRI MANJUNADHA IRON CEMENT PAINTS,,,,SURYAPET,6,0,0
SRI KAVYA TRADERS,,,,PALVANCHA,6,0,0
SRI LAKSHMI NARSIMHA CEMENT & HOME,,,,ARVAPALLY,6,0,0
LAKSHMI STEELS,,,,MANUGURU,6,0,0
SRI LAXMI NARASIMHA SWAMY HARDWARE,,,,DEVERAKONDA,6,0,0
MANIKANTA TRADERS,,,,MIRYALAGUDA,6,0,0
SRI SAMBASHIVA TRADERS,,,,NAKIREKAL,6,0,0
MANIKANTA TRADERS,,,,DEVERAKONDA,6,0,0
MARUTHI VENKATESHWARA TRADERS,,,,MIRYALAGUDA,6,0,0
JAGANNATH CEMENT STEEL TRADERS,,,,CHOUTUPPAL,6,0,0
SHAIK RIJWAN IRON AND CEMENT,,,,SURYAPET,6,0,0
BVN TRADERS,,,,NEREDUCHERLA,6,0,0
SRI VENKATESHWARA TRADERS,,,,IBRAHIMPATNAM,7,0,0
BALAJI TRADERS,,,,NARAYANKHED,7,0,0
NAGARJUNA STEELS,,,,MAHESHWARAM,7,0,0
MEENAKSHI INFRA,,,,BACHUPALLY,7,0,0
PRIYANKA STEEL HOUSE,,,,IBRAHIMPATNAM,7,0,0
SWATHI STEELS,,,,HYDERABAD,7,0,0
SRI LAXMI STEEL TRADERS,,,,POCHARAM,7,0,0
SRI SAI DIVYA STEEL & CEMENT,,,,HYDERABAD,7,0,0
RADHA KRISHNA TRADERS,,,,VEMULAWADA,8,0,0
THIRUMALA ENTERPRISES,,,,KARIMNAGAR,8,0,0
PADMAVATHI TRADERS,,,,MANDEPALLY,8,0,0
NAVADURGA TRADERS,,,,BELLAMPALLI,8,0,0
SPA TRADERS,,,,REBBENA,8,0,0
SRI MAHALAXMI TRADERS,,,,KOUTALA,8,0,0
DURGA TRADERS,,,,SIRPUR,8,0,0
SHANMUKHA TRADERS,,,,KARIMNAGAR,8,0,0
OM SAI GANESH TRADERS,,,,KARIMNAGAR,8,0,0
SRI RAJESHWARA TRADERS,,,,MUTHYAMPET,8,0,0
EASHWARI TRADERS CEMENT & SANITARY,,,,RAIKAL,8,0,0
SRR TRADERS,,,,VEMULAWADA,8,0,0
GOURI SHANKAR AGENCIES,,,,CHOPPADANDI,8,0,0
BVS TRADERS,,,,KAGAZNAGAR,8,0,0
MND STEELS,,,,KORUTLA,9,0,0
RAMANJANEYA CEMENT AND IRON,,,,HUZURABAD,9,0,0
SRI MANJUNATHA CEMENT & IRON HARDWARE,,,,HUZURABAD,9,0,0
NEW TELANGANA TRADERS,,,,NUSTALPUR,9,0,0
ESHWAR TRADERS,,,,JAGTIAL,9,0,0
MEENAKSHI TRADERS,,,,METPALLY,9,0,0
MADHU TRADERS,,,,KORUTLA,9,0,0
SRI DURGA TRADERS,,,,GANGADHARA,9,0,0
TIRUMALA STEELS,,,,LAXATTIPET,9,0,0
HARIHARA TRADERS,,,,KAMANPUR,10,0,0
LAXMI ENTERPRISES,,,,BEGUMPET,10,0,0
VENKATA MAHALAXMI TRADERS,,,,PEDDAPALLI,10,0,0
SRI SEETHA RAGHAVA TRADERS,,,,PEDDAPALLI,10,0,0
SAI SREE TRADERS,,,,DHARMARAM,10,0,0
VENKATALAXMI TRADERS,,,,PEDDAPALLI,10,0,0
RAYANSHI ENTERPRISES,,,,RAMPALLI,10,0,0
SHIVA TRADERS,,,,PEDDAPALLI,10,0,0
SHIVA MALLIKARJUNA TRADERS,,,,PEDDA KALVALA,10,0,0
SHIVA SAI IRON & HARDWARE,,,,MANTHANI,10,0,0
GAMPA ENTERPRISES,,,,PEDDAPALLI,10,0,0
MAHALAXMI TRADERS,,,,KUKKALAGUDUR,10,0,0
SRI BHAVANI STEEELS,,,,TUNI,11,0,0
SRI LAKSHMI VENKATESHWARA CEMENT,,,,PEDDAPURAM,11,0,0
KONARK TRADERS,,,,GUNTUR,11,0,0
A S R ENTERPRISES,,,,MANDAPETA,11,0,0
SRI LAKSHMI STEELS,,,,NALLAJERLA,11,0,0
SRI VIJAYA DURGA TRADERS,,,,KAKARAPALLE,11,0,0
SREE KANAKADURGA STEELS,,,,RAJAHMUNDRY,11,0,0
BMR STEEL CORPORATION,,,,NUTHALAPADU,11,0,0
DEVI CEMENT & STEEL,,,,SIDDIPET,12,0,0
JAYA VIJAYA STEEL CORPORATION,,,,GUNTUR,12,0,0
SRI LEELARAM STEEL TRADERS,,,,GUNTUR,12,0,0
BRINDAVAN TILES & GRANITES,,,,YELLAREDDY,12,0,0
RAJA RAJESHWARA TRADERS,,,,KAMAREDDY,12,0,0
SRI VENKATARAMANA TRADERS,,,,THUMKUNTA,12,0,0
LAXMI BALAJI TRADERS,,,,WARGAL,12,0,0
SRI RAJA RAJESHWARA TRADERS,,,,KOHEDA,12,0,0
SRI SAMMAKKA SARAKKA STEELS,,,,KHAMMAM,12,0,0
SRI SAMARDH GROUP,,,,KHAMMAM,12,0,0
TOTAL DUE :,,,,,12,0,0
